RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Danuel House Jr.,Hou,F-G,26.67,44,30.8,64.1,13.5,9,67,0.761,131,0.519,246,0.378,0.55,0.573,10.6,4.4,7.4,1.2,5.4,1.09,0.59,0.91,5,114.7,106.9
,Dwight Howard,Lal,C-F,34.16,49,19.9,41.5,14.2,18.6,132,0.47,203,0.734,5,0.6,0.738,0.693,7.5,7.7,21.2,0.7,4.6,0.47,1.41,1.24,6.9,122.8,90
,Kevin Huerter,Atl,G-F,21.44,41,29.5,61.4,17.4,12.6,49,0.796,188,0.452,233,0.399,0.533,0.551,11.9,4.2,7.7,3.2,15.9,0.85,0.46,1.56,7.4,106.8,110.4
,De'Andre Hunter,Atl,F-G,22.18,49,31.1,64.7,18,12.2,109,0.771,302,0.47,231,0.338,0.486,0.518,12.3,3.8,6.5,1.8,8.6,0.65,0.29,1.65,5.6,98.2,110.4
,Chandler Hutchison,Chi,F-G,23.78,25,17.4,36.3,19,12.4,66,0.636,109,0.532,31,0.323,0.521,0.556,7.5,3.6,11.1,0.8,7.1,0.96,0.24,0.96,6.4,104.3,101.3
,Serge Ibaka,Tor,F,30.38,41,26.6,55.4,24.7,12.6,99,0.747,387,0.563,118,0.39,0.568,0.591,15.8,8,15.8,1.3,8.4,0.56,0.83,1.93,8.2,109.2,96.3
,Ersan Ilyasova,Mil,F,32.73,46,16.2,33.8,17.3,8.6,68,0.824,146,0.562,111,0.378,0.564,0.603,7.5,5.1,15.5,0.9,7.7,0.41,0.28,0.59,8,121.5,94
,Joe Ingles,Uta,F-G,32.35,50,30,62.4,15.4,17.3,66,0.773,153,0.503,254,0.406,0.569,0.589,10.3,4,7.3,5,23.6,0.88,0.12,1.82,7.9,115.6,103.5
,Brandon Ingram,Nor,F,22.43,46,34.3,71.5,28.6,12.5,286,0.86,547,0.512,290,0.4,0.542,0.599,25.1,6.4,9.8,4.2,19.9,0.93,0.74,3,10.2,114,107.3
,Kyrie Irving,Bro,G,27.87,20,32.9,68.5,32.5,10.1,102,0.922,274,0.522,142,0.394,0.546,0.595,27.4,5.2,8,6.4,37,1.35,0.5,2.6,11.8,118.6,103
,Jonathan Isaac,Orl,F,22.34,32,29.7,61.8,18.4,11.7,73,0.767,231,0.515,91,0.33,0.509,0.542,12,6.9,12.4,1.4,7.3,1.56,2.44,1.47,6.6,105.2,99.8
,Wes Iwundu,Orl,F,25.13,37,18.4,38.3,13,8.4,60,0.817,103,0.408,57,0.316,0.431,0.502,5.1,2.5,7.2,1,7.9,0.62,0.27,0.46,5.1,106.6,103.3
