RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Boban Marjanovic,Dal,C,31.48,24,9.9,20.7,26,13.1,34,0.706,103,0.573,8,0.25,0.559,0.587,6.2,4.4,23.2,0.4,7,0.17,0.21,0.79,9,112.6,93.7
,Lauri Markkanen,Chi,F-C,22.71,46,30.3,63.2,21.2,11.1,149,0.826,256,0.516,294,0.344,0.515,0.56,15,6.5,11.7,1.5,7.9,0.85,0.5,1.67,7,107.2,105.8
,Caleb Martin,Cha,F,24.36,5,6.4,13.3,20.9,19.7,5,0.6,7,0.429,3,0,0.3,0.369,1.8,1,8.6,0.6,13.9,0.2,0.4,0.6,6.4,74.6,106.4
,Cody Martin,Cha,F,24.36,37,16,33.3,13.8,13.5,45,0.667,87,0.54,54,0.259,0.482,0.516,4.5,2.8,9.6,1.4,12.9,0.73,0.16,0.68,6.5,106.5,105.3
,Jeremiah Martin,Bro,G,23.63,2,5.5,11.4,15.3,0,0,0,4,0.25,0,0,0.25,0.25,1,0.5,4.7,0.5,12.5,0.5,0,0,4.6,68.3,109.5
,Kelan Martin,Min,F,24.51,21,17.5,36.5,16.5,8.1,12,1,62,0.5,68,0.265,0.446,0.473,6.1,3.4,10.2,0.5,4,0.29,0.33,0.57,5,93.7,103.7
,Frank Mason,Mil,G,25.84,4,4.4,9.2,22.7,10.2,4,0.5,3,0,4,0.25,0.214,0.285,1.3,0.5,5.6,1.3,32.9,0.25,0,0.25,8.6,86.1,95.1
,Garrison Mathews,Was,G,23.28,15,13.1,27.3,15,9.8,32,0.906,8,0.625,42,0.429,0.64,0.726,6.2,1.5,6.4,0.7,6.6,0.2,0.07,0.47,5.7,138.9,109.1
,Wesley Matthews,Mil,G,33.31,47,24.2,50.4,12.4,9.3,51,0.765,91,0.495,197,0.371,0.536,0.56,7.4,2.4,4.9,1.4,7.4,0.6,0.15,0.68,4.8,109.9,101.5
,Patrick McCaw,Tor,G,24.28,27,24.6,51.3,10,15.5,14,0.714,73,0.521,52,0.365,0.532,0.545,5.3,2.1,4.4,2.3,12.6,1.07,0.15,0.89,4.8,109.2,104.7
,CJ McCollum,Por,G,28.38,47,35.6,74.2,25.7,8.1,105,0.762,563,0.494,324,0.38,0.521,0.538,21.4,4,5.8,3.7,16.8,0.77,0.68,1.74,7.7,109,111.9
,T.J. McConnell,Ind,G,27.87,49,19.3,40.2,17.3,17.8,33,0.818,278,0.532,12,0.333,0.531,0.55,6.8,2.7,7.8,5.4,39.3,0.67,0.18,1.35,9.6,115.9,107.1
,Jalen McDaniels,Cha,F-C,22.01,2,3.3,6.8,33.7,0,0,0,4,0.5,1,0,0.4,0.4,2,0.5,8.4,0,0,0,0,0,0,,
,Doug McDermott,Ind,F,28.09,51,21,43.7,19.2,6.9,43,0.814,194,0.526,221,0.452,0.607,0.621,10.6,2.6,7,1.1,7.9,0.14,0.1,0.63,5.9,117.6,106
,JaVale McGee,Lal,C-F,32.05,47,16.9,35.2,15.8,12.1,67,0.642,226,0.655,5,0.6,0.66,0.668,7.4,5.9,19,0.7,5.7,0.51,1.66,0.77,7.4,128.2,93.2
,Rodney McGruder,Lac,G,28.52,39,16.7,34.8,10.3,11.1,23,0.522,63,0.492,71,0.268,0.444,0.454,3.4,2.9,8.9,0.6,4.7,0.51,0.21,0.46,4.3,95.8,100.4
,Alfonzo McKinnie,Cle,F,27.38,35,14.3,29.8,14.9,12.7,27,0.704,86,0.535,54,0.222,0.457,0.484,4.2,2.9,11.1,0.4,3.6,0.54,0.17,0.63,4.7,96.9,104.8
,Jordan McLaughlin,Min,G,23.83,16,18.4,38.4,14.9,11.3,14,0.643,47,0.489,41,0.317,0.483,0.499,5.9,1.6,4.6,3.4,26.9,1,0,0.75,6.9,110.8,110.2
,Ben McLemore,Hou,G,26.98,50,23.8,49.5,16.1,8.8,56,0.75,66,0.697,336,0.384,0.596,0.611,10.4,2.2,4.8,0.9,5.6,0.64,0.24,0.82,4.6,116.4,106.3
,Jordan McRae,Was,G,28.86,29,22.5,47,24.8,9.7,83,0.771,211,0.441,106,0.377,0.483,0.523,12.8,3.6,8.7,2.8,18.5,0.66,0.52,1.31,9,106.5,111.2
,Nicolo Melli,Nor,0,29.03,39,14.9,31.1,15.3,13.3,37,0.811,63,0.603,109,0.367,0.57,0.6,5.8,2.5,8.9,1,9.4,0.56,0.23,0.74,6.5,113.2,103.3
,De'Anthony Melton,Mem,G,21.69,38,18,37.6,20.1,17,74,0.838,176,0.511,65,0.308,0.498,0.552,7.9,3.7,11,3,22.6,1.26,0.34,1.47,9.9,107.8,102.2
,Chimezie Metu,San,F-C,22.88,15,4.3,8.9,23.9,8.4,8,0.75,29,0.552,0,0,0.552,0.584,2.5,1.5,19.1,0.3,12.6,0.07,0.27,0.2,9.7,121.2,109.8
,Khris Middleton,Mil,F,28.49,43,29.2,60.8,25.6,10.8,151,0.901,399,0.546,229,0.441,0.588,0.63,20.3,5.9,9.9,4.2,21.7,0.95,0.16,1.95,10.9,121.3,97.3
,Eric Mika,Sac,C,25.09,1,19.1,39.8,8.9,0,2,1,3,0.667,0,0,0.667,0.773,6,7,20.7,0,0,0,0,0,0,170.7,84.4
,CJ Miles,Was,G,32.89,10,16.1,33.5,18.5,5.6,20,0.75,24,0.333,35,0.314,0.415,0.472,6.4,1.2,4.1,1.2,9.7,1,0.4,0.4,5.2,103.4,112.2
,Malcolm Miller,Tor,G-F,26.92,22,5.3,11.1,9.8,11.3,6,0.167,5,0.4,16,0.313,0.452,0.423,0.9,0.6,6.3,0.4,8.8,0.18,0.09,0.14,4.5,90.2,100.3
,Paul Millsap,Den,F,34.99,32,24.9,51.9,19.8,11.5,96,0.885,207,0.488,75,0.413,0.523,0.586,11.9,5.8,12.8,1.4,8.2,0.88,0.69,1.31,7.4,116,99.2
,Patty Mills,San,G,31.49,50,23.2,48.4,20.2,8.1,80,0.825,153,0.503,312,0.391,0.559,0.586,11.7,1.6,3.8,2,12.3,0.86,0.1,0.88,5.8,114.1,111
,Shake Milton,Phi,G-F,23.36,18,15,31.2,20.3,15.8,29,0.759,43,0.581,51,0.333,0.537,0.576,6.8,2.1,7.8,1.4,14.1,0.39,0.06,1.11,7.2,105.2,98.3
,Donovan Mitchell,Uta,G,23.41,49,34.3,71.6,31.2,10.3,223,0.861,652,0.503,325,0.36,0.515,0.558,24.5,4.3,6.8,4.2,21.7,1.12,0.22,2.53,8.9,109.9,103.8
,Naz Mitrou-Long,Ind,G,26.51,3,14.2,29.5,18.7,11.1,0,0,5,0.8,11,0.182,0.438,0.438,4.7,2,7.8,2.3,22.5,0.33,0.33,0.67,7.8,94.1,110.5
,Adam Mokoka,Chi,G,21.55,5,3.3,7,23.1,0,0,0,5,0,4,0,0,0,0,0.8,13.1,0,0,0.2,0,0,0,,
,Malik Monk,Cha,G,22,49,20.3,42.4,22.1,12.7,79,0.81,235,0.545,169,0.266,0.484,0.519,9.3,2.8,7.5,2,16.7,0.41,0.29,1.31,7.4,101,110.5
,Matt Mooney,Cle,G,23,2,2.3,4.8,18.6,0,0,0,1,1,1,0,0.5,0.5,1,0.5,12,0.5,35.6,0,0.5,0,11,,
,E'Twaun Moore,Nor,G,30.95,38,20.1,41.8,21.3,7.4,37,0.649,210,0.467,139,0.374,0.504,0.515,9.9,2.6,6.9,1.6,12.1,0.55,0.18,0.76,6.9,105.2,109.4
,Ja Morant,Mem,G,20.49,45,29.8,62,25.9,17.5,192,0.781,506,0.52,93,0.387,0.529,0.574,17.4,3.4,6,7,35,1.02,0.27,3.22,10,109.5,111.4
,Juwan Morgan,Uta,F,22.81,11,4,8.4,8.9,22.2,0,0,3,1,4,0.25,0.643,0.643,0.8,0.7,9.8,0.1,3,0,0.09,0.18,3.8,108.1,105.3
,Marcus Morris Sr.,Nyk,F,30.43,43,32.3,67.2,24.3,9.2,198,0.823,372,0.444,264,0.439,0.533,0.582,19.6,5.4,8.8,1.4,6.9,0.77,0.4,1.7,6.6,112.9,107.2
,Markieff Morris,Det,F,30.43,42,22.5,47,21.5,14,75,0.773,193,0.503,178,0.393,0.544,0.572,11,3.9,9.7,1.5,10.6,0.62,0.21,1.57,7.1,103.9,104.1
,Monte Morris,Den,G,24.61,52,20.9,43.6,17.4,8,48,0.813,274,0.474,110,0.391,0.507,0.528,8.2,1.8,4.7,3.6,24.5,0.69,0.21,0.67,7.2,116.1,109.5
,Johnathan Motley,Lac,F,24.76,9,2.1,4.4,23.4,36.8,2,1,5,0.6,1,1,0.75,0.799,1.2,0.4,10.7,0.6,39.9,0.33,0,0.44,12.6,,
,Emmanuel Mudiay,Uta,G,23.92,43,16.2,33.8,21.7,17.6,55,0.727,192,0.516,69,0.348,0.517,0.543,7.2,2.4,8.1,2.4,22.3,0.37,0.21,1.42,8.5,103.3,102.5
,Dejounte Murray,San,G,23.38,46,24.2,50.5,20.1,17.9,71,0.761,328,0.506,66,0.364,0.513,0.539,10,5.7,12.6,3.7,22,1.65,0.28,2.02,9.8,104.2,102.7
,Jamal Murray,Den,G,22.95,42,31.9,66.5,25.2,11.5,142,0.901,419,0.494,214,0.332,0.495,0.543,18,4,6.8,4.6,22.2,1.29,0.29,2.14,8.7,109.2,107.3
,Dzanan Musa,Bro,G-F,20.75,35,11.6,24.1,19.3,15.5,44,0.75,74,0.473,65,0.231,0.414,0.467,4.2,2,9,0.9,10.9,0.37,0.03,0.83,6.8,93,105.4
,Mike Muscala,Okc,F-C,28.6,35,12.8,26.6,16,8,22,0.818,33,0.515,107,0.346,0.518,0.544,4.7,2.4,10.5,0.9,9.8,0.2,0.23,0.37,6.8,110.6,101
,Svi Mykhailiuk,Det,G-F,22.66,46,22.2,46.2,16.2,11.8,54,0.852,91,0.451,221,0.425,0.583,0.611,8.9,1.7,4.2,1.7,10.7,0.63,0.09,0.98,5.3,114.5,110.6
,Abdel Nader,Okc,F,26.37,35,15.6,32.5,16.2,14.4,37,0.811,76,0.579,80,0.363,0.561,0.595,5.9,1.5,5.2,0.7,6.3,0.37,0.34,0.83,4.7,106.5,104.7
,Larry Nance Jr.,Cle,F-C,27.1,43,25,52,14.8,11,51,0.647,188,0.638,121,0.355,0.597,0.606,9.3,7.3,16.1,2,11.8,0.79,0.44,0.95,8.2,121.6,109.5
,Shabazz Napier,Min,G,28.57,36,23.8,49.6,19.2,19.1,88,0.818,124,0.54,159,0.296,0.486,0.539,9.6,3.1,6.7,5.2,32,1.14,0.19,2.11,9,107.5,107.5
,Raul Neto,Phi,G,27.72,42,11.4,23.7,17.7,18,18,0.778,89,0.483,63,0.381,0.52,0.538,4.1,1.1,5.4,1.5,18.9,0.48,0.12,0.83,6.6,101.7,103.7
,Georges Niang,Uta,F,26.64,44,13.8,28.8,16.3,8.4,18,0.833,64,0.531,136,0.426,0.605,0.618,5.8,1.8,7.2,0.7,7,0.27,0.11,0.43,5.6,117.8,102.6
,Nerlens Noel,Okc,C-F,25.83,42,19.1,39.8,15.6,15.4,82,0.805,202,0.688,3,0.333,0.685,0.72,8.3,5.3,15.3,1.2,9.3,1.1,1.52,1.05,7.9,132.6,94.7
,Zach Norvell Jr.,Lal,G-F,22.16,2,2.5,5.1,8.6,0,0,0,1,0,0,0,0,0,0,0.5,11.1,0,0,0,0,0,0,,
,Jaylen Nowell,Min,G,20.83,8,11.4,23.6,18.8,7.2,10,0.9,16,0.625,18,0.111,0.382,0.456,4.4,0.9,4,1,12.9,0,0,0.38,5.6,99.6,112.4
,Frank Ntilikina,Nyk,G,21.53,45,21,43.8,15.1,17.5,40,0.875,154,0.429,107,0.318,0.448,0.483,6,2.2,5.6,3,20,0.93,0.36,1.31,6.5,98.8,103.9
,Kendrick Nunn,Mia,G,24.51,47,30.2,63,23.5,11.2,73,0.822,376,0.527,264,0.36,0.532,0.551,15.8,2.8,5.1,3.5,19.2,0.89,0.19,1.81,7.1,106,105.5
,David Nwaba,Bro,G-F,27.06,20,13.4,28,14.1,8.8,27,0.667,43,0.581,28,0.429,0.606,0.627,5.2,2.3,8.6,0.4,4.3,0.55,0.6,0.4,5,119.7,98.4
,Semi Ojeleye,Bos,F,25.17,48,15,31.2,8.4,6.3,25,0.88,48,0.458,74,0.365,0.512,0.553,3.1,1.9,6.7,0.5,4.4,0.35,0.08,0.19,3.8,118.9,104
,Jahlil Okafor,Nor,C-F,24.14,25,16.1,33.5,20.2,17.7,57,0.649,136,0.618,2,0.5,0.62,0.638,8.3,4.5,14.7,1.4,13.3,0.2,0.76,1.4,9.3,116.2,100.5
,Elie Okobo,Pho,F-G,22.29,41,12.9,26.9,15.1,11.2,59,0.678,84,0.417,57,0.368,0.472,0.518,4.2,1.6,6.7,2.1,22.1,0.44,0.1,0.51,7.5,113.1,107.1
,Josh Okogie,Min,G,21.43,48,24.4,50.8,16,15.5,152,0.783,193,0.513,123,0.244,0.456,0.531,8.5,4.4,9.4,1.6,9.1,1.1,0.44,1.46,6.4,104.3,105.5
,KZ Okpala,Mia,F-G,20.78,4,1.2,2.4,9.6,100,0,0,0,0,0,0,,,0,0.3,12.2,0,0,0,0,0.25,0,,
,Victor Oladipo,Ind,G,27.76,4,22.9,47.7,29.6,8.1,8,0.875,26,0.308,27,0.185,0.292,0.336,9.5,1.5,3.6,2.3,13.5,0.5,0.25,1.25,5.6,73.4,113.4
,Kelly Olynyk,Mia,C,28.8,44,19.8,41.2,16.3,14.3,68,0.868,104,0.538,142,0.401,0.575,0.62,7.8,4.6,13.1,1.3,9.3,0.61,0.32,1.05,7.3,114.7,96.8
,Royce O'Neale,Uta,F,26.67,50,29.2,60.8,8.8,13.4,27,0.852,92,0.522,149,0.409,0.579,0.597,6,5.1,9.6,2.6,11.9,0.74,0.36,0.78,5.9,120.3,99.5
,Miye Oni,Uta,G-F,22.51,3,2.8,5.8,5.2,100,0,0,0,0,0,0,,,0,0.3,6.5,0,0,0,0,0.33,0,,
,Kyle O'Quinn,Phi,C-F,29.87,22,10.1,21,17,20.7,11,0.455,43,0.581,21,0.333,0.555,0.552,3.5,3.7,20.2,1.5,20.8,0.18,0.77,0.82,10.6,110.2,95.2
,Cedi Osman,Cle,F,24.83,52,28.9,60.2,16.5,12.4,68,0.647,228,0.513,249,0.394,0.553,0.564,11,3.4,6.5,2.4,11.9,0.85,0.27,1.38,6.2,108.4,110.4
,Kelly Oubre Jr.,Pho,F-G,24.16,49,34.5,71.8,22.5,8.7,225,0.782,455,0.51,263,0.354,0.517,0.562,18.8,6.7,10.6,1.6,6.9,1.31,0.71,1.59,6.8,108.8,103.1
,Tariq Owens,Pho,F,24.6,2,5.3,11,16,0,0,0,3,0.333,1,0,0.25,0.25,1,1,10.4,0,0,0.5,0,0,0,82.9,114.2
,Jabari Parker,Atl,F,24.9,32,26.2,54.5,24,12.4,72,0.736,278,0.601,115,0.27,0.543,0.565,15,6,12.3,1.8,11.7,1.31,0.47,1.88,8.3,106,104.8
,Chandler Parsons,Atl,F,31.28,5,10.8,22.6,16.1,14.3,0,0,4,0.25,14,0.286,0.389,0.389,2.8,1.4,7,0.6,7.5,0.8,0.2,0.6,4.9,76.7,110.9
,Eric Paschall,Gol,F,23.25,47,26.9,56,21.6,10.8,160,0.769,403,0.531,97,0.289,0.512,0.557,13.5,4.7,9.4,1.7,10.7,0.55,0.23,1.47,7.1,107.4,109.6
,Anzejs Pasecniks,Was,C,24.13,19,19.5,40.6,16.4,15.1,50,0.62,100,0.54,2,0,0.529,0.56,7.3,4.9,13.8,0.9,6.2,0.42,0.53,1.16,6.5,109.8,104.2
,Patrick Patterson,Lac,F,30.9,44,13,27,14.8,6.8,34,0.794,44,0.477,132,0.371,0.537,0.566,4.9,2.6,10.3,0.7,6.9,0.14,0.07,0.32,6.4,118.1,104.3
,Justin Patton,Okc,C,22.65,5,4.8,10.1,21.8,16.7,0,0,6,0.5,4,0.25,0.45,0.45,1.8,1,11.4,0.4,12.4,0,0,0.4,7.5,85.6,95
,Chris Paul,Okc,G,34.75,50,31.6,65.9,22.7,12.8,198,0.899,401,0.544,222,0.356,0.54,0.599,17,5.1,8.8,6.6,32.5,1.6,0.12,2.08,10.5,120.2,102
,Gary Payton II,Was,G,27.18,21,19.2,40,13.2,14.8,8,0.5,67,0.478,39,0.282,0.458,0.461,4.8,3.5,9.9,2.1,14.4,1.52,0.33,0.9,6.8,101.6,106.1
,Elfrid Payton,Nyk,G,25.95,32,26.8,55.9,19.1,15.8,41,0.488,255,0.467,53,0.226,0.445,0.451,9.2,4.6,8.9,6.7,37.8,1.44,0.44,1.91,9.8,102.4,107.6
,Norvel Pelle,Phi,F,27.01,14,11.1,23.2,11.8,25.9,10,0.5,27,0.556,0,0,0.556,0.557,2.5,3.6,18.1,0.5,6,0.07,1.43,0.79,5.9,97.3,88.1
,Theo Pinson,Bro,G-F,24.25,28,12.2,25.4,23.1,16.9,16,0.938,73,0.397,77,0.195,0.343,0.376,4.2,1.7,7.2,1.9,21.8,0.54,0.07,1.14,7.8,80.7,101.5
,Mason Plumlee,Den,F-C,29.92,43,17.4,36.3,18.5,19.2,114,0.553,206,0.617,4,0,0.605,0.609,7.4,5.5,17.4,2.4,20.4,0.51,0.6,1.44,10.6,115.5,96.2
,Jakob Poeltl,San,C,24.31,50,17.5,36.4,13,15.2,63,0.508,195,0.621,0,0,0.621,0.615,5.5,5.6,17.2,1.8,14.2,0.48,1.58,0.8,8.7,125.4,103.3
,Vincent Poirier,Bos,C-F,26.28,17,5.8,12.2,15.5,13.9,7,0.857,26,0.462,2,0.5,0.482,0.531,1.9,1.8,16.8,0.4,9.6,0.12,0.35,0.29,7.7,111,86.7
,Shamorie Ponds,Tor,G,19.72,4,2.7,5.5,23.8,0,2,1,3,0.667,2,0.5,0.7,0.765,2.3,0.3,5,0.5,33.9,0,0.25,0,10.4,,
,Jordan Poole,Gol,G,20.63,45,21,43.8,20.4,9.7,85,0.824,171,0.304,201,0.264,0.353,0.407,7.4,1.9,4.9,1.9,13.5,0.6,0.2,0.98,5.7,85.4,110.5
,Kevin Porter Jr.,Cle,G-F,19.76,40,22.3,46.5,20.5,18.3,73,0.712,198,0.515,119,0.336,0.511,0.538,9.4,3.1,7.8,1.9,12.9,0.9,0.18,1.95,6.8,96.6,105.3
,Michael Porter Jr.,Den,F,21.61,39,14.2,29.7,22.1,10.5,39,0.795,150,0.553,88,0.432,0.588,0.609,8,4.4,16.9,0.7,8.2,0.44,0.46,0.77,8.2,115.7,96.5
,Otto Porter Jr.,Chi,F,26.68,9,25.1,52.3,18.9,7,20,0.75,44,0.432,40,0.4,0.512,0.544,11.2,3.4,7.5,1.6,9.6,1,0.33,0.78,6.3,110.8,104.6
,Bobby Portis,Nyk,F,24.99,51,21,43.8,20.6,10.2,67,0.731,291,0.478,147,0.354,0.495,0.517,9.5,5.3,13.2,1.5,11.4,0.55,0.2,1.04,8.1,105.4,106.5
,Kristaps Porzingis,Dal,F-C,24.52,39,30.6,63.7,26.3,8.8,166,0.771,340,0.456,257,0.35,0.486,0.528,18.2,9.1,15.5,1.4,7,0.69,1.87,1.67,8,106.2,100.6
,Dwight Powell,Dal,F-C,28.55,40,26.5,55.2,12.7,11.8,111,0.667,190,0.716,39,0.256,0.659,0.677,9.4,5.7,11.2,1.5,7.7,0.88,0.53,0.93,6.5,132.6,103.4
,Norman Powell,Tor,G,26.7,38,28.2,58.8,20.9,10.9,100,0.84,229,0.581,192,0.401,0.59,0.625,15.3,3.8,7.2,1.7,9.3,1.26,0.37,1.5,6.6,114.9,102.1
,Taurean Prince,Bro,F,25.88,50,29.7,61.9,19.9,14.1,63,0.794,240,0.438,341,0.352,0.491,0.509,12.4,6.4,11.1,2,10.2,0.94,0.38,2,7.3,95.8,101.6
,Julius Randle,Nyk,C-F,25.19,49,32.5,67.7,27.4,14.4,261,0.709,568,0.514,199,0.266,0.484,0.526,18.9,9.5,15.3,3.2,16.7,0.82,0.27,3.02,10.2,102.2,105.4
,Josh Reaves,Dal,G-F,22.67,2,0.8,1.6,28.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Cam Reddish,Atl,F-G,20.43,46,26,54.2,18.3,14,90,0.789,227,0.383,188,0.309,0.419,0.461,9.1,3.8,7.8,1.5,8.4,1.02,0.48,1.61,5.7,89.2,109.4
,JJ Redick,Nor,G,35.62,46,27.3,56.9,19.5,9.4,143,0.888,181,0.436,298,0.463,0.597,0.645,15.2,2.7,5.1,1.8,9.7,0.35,0.17,1.22,6.1,122.3,112.7
,Naz Reid,Min,C-F,20.45,16,10.6,22.2,27.5,8.8,14,0.643,45,0.511,52,0.327,0.5,0.514,6.6,2.1,10.4,0.8,13.1,0.31,0.5,0.63,8.4,101.7,93.7
,Josh Richardson,Phi,G,26.39,38,31.5,65.7,21.9,13.2,110,0.818,296,0.5,183,0.333,0.5,0.539,15,3.3,5.8,3.4,16.2,0.97,0.61,2.11,7,104.4,103.6
,Austin Rivers,Hou,G,27.51,46,23.8,49.5,15,7,69,0.667,160,0.519,183,0.339,0.513,0.533,8.7,2.5,5.4,1.7,9.6,0.7,0.2,0.61,5.6,111.5,106.8
,Glenn Robinson III,Gol,F,26.08,48,31.6,65.8,16.6,8.7,74,0.851,336,0.524,170,0.4,0.549,0.575,12.9,4.7,7.9,1.8,8.9,0.94,0.29,1.06,6,112.2,112.2
,Duncan Robinson,Mia,F,25.79,50,28.5,59.4,15.3,7.1,44,0.886,55,0.6,386,0.435,0.646,0.661,12.2,3.2,6.4,1.2,6.3,0.52,0.24,0.7,5.1,122.4,102.7
,Jerome Robinson,Lac,G,22.95,42,11.3,23.6,14.8,15.3,19,0.579,69,0.391,67,0.284,0.408,0.423,2.9,1.4,6.5,1.1,12.6,0.31,0.19,0.62,5.8,87.2,99.4
,Justin Robinson,Was,G,22.32,9,5.4,11.3,12.8,20,0,0,7,0.286,5,0.6,0.542,0.542,1.4,0.6,5.6,0.8,18.4,0,0.11,0.33,6.5,105.3,119.9
,Mitchell Robinson,Nyk,C-F,21.85,47,22.6,47.1,13.2,9.4,108,0.602,252,0.722,0,0,0.722,0.716,9.1,6.7,15.5,0.6,3.9,0.85,1.83,0.66,5.9,138.4,99
,Isaiah Roby,Okc,F,22.01,1,1.5,3.1,29.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Rajon Rondo,Lal,G,33.95,34,21.2,44.1,19.2,20.8,31,0.742,154,0.468,91,0.33,0.478,0.497,7.6,3.5,8.9,5.5,34.8,0.82,0.06,2,9.9,104.3,104.4
,Derrick Rose,Det,G,31.34,44,26.4,55.1,30.9,13,128,0.859,536,0.543,130,0.315,0.529,0.564,18.5,2.5,5.4,5.8,40.7,0.8,0.32,2.45,9.8,111.6,112.9
,Terrence Ross,Orl,G-F,29,49,26.3,54.8,22.5,6.8,120,0.833,231,0.481,336,0.327,0.487,0.526,13.3,3,6.1,1,6.4,1.08,0.31,0.92,5.2,103,105.3
,Terry Rozier,Cha,G,25.89,51,34.3,71.4,24.1,12.7,166,0.861,419,0.446,347,0.386,0.507,0.548,18,4.5,7.1,4.2,20.8,1.06,0.16,2.39,8.1,106.8,110.6
,Ricky Rubio,Pho,G,29.29,43,31.8,66.3,20,17.5,131,0.817,335,0.427,141,0.333,0.449,0.5,12.4,4.5,7.7,8.7,38.3,1.42,0.21,2.63,9.9,107.2,105.9
,D'Angelo Russell,Gol,G,23.95,33,32.1,66.9,32.1,12.6,144,0.785,314,0.487,321,0.374,0.524,0.558,23.6,3.7,6.1,6.2,36.4,0.91,0.27,3.06,10.2,106.4,111.7
,Domantas Sabonis,Ind,F-C,23.76,48,34.5,72,23.4,15.1,228,0.728,596,0.565,50,0.24,0.55,0.587,18.3,12.6,20.3,4.7,20.7,0.73,0.52,2.77,11.9,115,98.3
,JaKarr Sampson,Ind,F,26.88,18,13.8,28.8,12.3,8.6,10,0.4,48,0.688,11,0.182,0.61,0.599,4.2,2.4,9.6,0.2,2.2,0.33,0.44,0.33,3.7,113.7,99.8
,Dario Saric,Pho,F,25.83,48,24.8,51.6,17.1,12.3,68,0.853,206,0.558,185,0.314,0.517,0.549,9.6,6,13.3,1.9,10.8,0.63,0.25,1.23,7.7,108.5,104.4
,Tomas Satoransky,Chi,G,28.27,52,28.7,59.7,16.6,17.6,100,0.88,270,0.507,162,0.34,0.508,0.554,10.1,3.7,7,5.3,27.4,1.33,0.13,1.96,8.1,112,106.5
,Admiral Schofield,Was,G-F,22.86,26,11.2,23.4,12.3,8.1,13,0.692,28,0.571,46,0.304,0.5,0.521,3.2,1.3,6.3,0.5,6.1,0.31,0.12,0.27,4.6,106.3,107.3
,Dennis Schroder,Okc,G,26.39,50,31.2,65,27.3,13.7,171,0.83,490,0.522,268,0.388,0.544,0.58,19.3,3.9,6.9,4.2,22.3,0.68,0.24,2.64,8.7,108.1,105
,Mike Scott,Phi,F,31.56,51,17.7,36.8,14.1,6.4,27,0.889,91,0.516,173,0.341,0.513,0.535,5.8,3.4,10.7,0.6,4.6,0.31,0.08,0.37,5.1,110.5,104.3
,Thabo Sefolosha,Hou,F-G,35.76,34,10.8,22.4,10.3,12,6,0.167,30,0.6,48,0.313,0.519,0.508,2.4,2.4,11.5,0.7,8.2,0.5,0.24,0.32,5.9,108.7,101.7
,Collin Sexton,Cle,G,21.09,52,32.2,67.2,27,10.6,193,0.855,673,0.489,189,0.37,0.503,0.545,19.9,3.3,5.6,2.6,13.8,1,0.13,2.15,6.9,107,113.5
,Landry Shamet,Lac,G,22.9,34,28.6,59.5,13.3,8.6,42,0.905,65,0.523,203,0.399,0.58,0.609,10.3,2.1,3.8,1.9,9,0.41,0.18,0.79,4.8,119.8,102.4
,Iman Shumpert,Bro,G,29.61,13,18.5,38.6,13.4,13,7,0.571,31,0.419,33,0.242,0.391,0.403,4.2,2.6,7.3,0.9,6.7,0.92,0.15,0.77,4.6,84.8,102.4
,Pascal Siakam,Tor,F,25.85,40,34.9,72.7,29.1,10.3,202,0.807,528,0.502,233,0.365,0.516,0.558,23.7,7.7,11.6,3.5,16.9,1.03,0.9,2.45,9.9,108.2,99.5
,Chris Silva,Mia,F,23.38,34,7.8,16.3,17.7,28.1,43,0.674,56,0.696,2,0,0.672,0.696,3.1,2.9,20.6,0.4,8.5,0.24,0.47,0.88,7.9,118.4,81.7
,Ben Simmons,Phi,F,23.55,49,36.1,75.3,20.7,20.1,260,0.627,555,0.586,6,0.333,0.585,0.606,16.7,7.8,11.9,8.2,34.7,2.16,0.59,3.47,11.3,116.2,99
,Anfernee Simons,Por,G,20.66,51,22.6,47.1,18.6,10.1,71,0.803,251,0.466,173,0.318,0.471,0.501,8.9,2.5,5.6,1.5,9.2,0.33,0.18,1,5.7,100.4,110.3
