Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
71,Evan Fournier,ORL,17000000,17000000,,,,,Cap Space,17000000
59,Evan Turner,ATL,18606557,,,,,,Cap Space,18606557
484,Festus Ezeli,POR,333333,,,,,,,333333
393,Frank Jackson,NOP,1618520,,,,,,MLE,1618520
206,Frank Kaminsky,PHO,4767000,5005350,,,,,Room Exception,9772350
203,Frank Ntilikina,NYK,4855800,6176578,,,,,1st Round Pick,11032378
138,Fred VanVleet,TOR,9000000,,,,,,Bird Rights,9000000
386,Furkan Korkmaz,PHI,1620564,1762796,,,,,Minimum Salary,1620564
212,Garrett Temple,BRK,4767000,5005350,,,,,Room Exception,4767000
470,Gary Clark,HOU,708426,,,,,,,708426
67,Gary Harris,DEN,17839286,19160714,20482143,,,,1st Round Pick,57482143
438,Gary Payton,WAS,1090781,,,,,,Minimum Salary,1090781
413,Gary Trent,POR,1416852,1663861,,,,,MLE,3080713
136,George Hill,MIL,9133907,9590602,10047297,,,,,21000000
369,Georges Niang,UTA,1783557,1678854,,,,,,1678854
300,Gerald Green,HOU,2564753,,,,,,Minimum Salary,2564753
42,Giannis Antetokounmpo,MIL,25842697,27528090,,,,,1st Round Pick,53370787
365,Glenn Robinson,GSW,1882867,2071978,,,,,,1882867
277,Goga Bitadze,IND,2816760,2957520,3098400,4765339,,,1st Round Pick,5774280
57,Goran Dragić,MIA,19217900,,,,,,Bird Rights,19217900
15,Gordon Hayward,BOS,32700690,34187085,,,,,Cap space,32700690
74,Gorgui Dieng,MIN,16229213,17287640,,,,,1st Round Pick,33516853
312,Grant Williams,BOS,2379840,2498760,2617800,4306281,,,1st Round Pick,4878600
311,Grayson Allen,MEM,2429400,2545320,4054695,,,,1st Round Pick,4974720
264,Guerschon Yabusele,BOS,3117240,,,,,,,3117240
420,Hamidou Diallo,OKC,1416852,1663861,,,,,MLE,1416852
47,Harrison Barnes,SAC,24147727,22215909,20284091,18352273,,,,85000000
289,Harry Giles,SAC,2578800,,,,,,1st Round Pick,2578800
37,Hassan Whiteside,POR,27093018,,,,,,Cap Space,27093018
81,Ian Mahinmi,WAS,15450051,,,,,,Cap Space,15450051
450,Ignas Brazdeikis,NYK,898310,1517981,1782621,,,,Minimum Salary,2416291
479,Iman Shumpert,BRK,419443,,,,,,,419443
414,Isaac Bonga,WAS,1416852,1663861,,,,,,1416852
427,Isaiah Hartenstein,HOU,1416852,1663861,,,,,MLE,1416852
403,Isaiah Roby,OKC,1500000,1517981,1782621,1930681,,,MLE,3017981
319,Isaiah Thomas,WAS,2320044,,,,,,,2320044
182,Ish Smith,WAS,5853659,6146341,,,,,MLE,12000000
482,Ivan Rabb,MEM,371758,,,,,,,371758
176,Ivica Zubac,LAC,6481482,7000000,7518518,7518518,,,,21000000
303,J.J. Barea,DAL,2564753,,,,,,Minimum Salary,2564753
91,J.J. Redick,NOP,13486300,13013700,,,,,,26500000
405,J.R. Smith,CLE,1456667,1456667,1456666,,,,,4370000
139,Ja Morant,MEM,8730240,9166800,9603360,12119440,,,1st Round Pick,17897040
175,Jabari Parker,ATL,6500000,6500000,,,,,,6500000
359,Jacob Evans,GSW,1925880,2017320,3641263,,,,1st Round Pick,3943200
156,Jae Crowder,MEM,7815533,,,,,,Bird Rights,7815533
375,Jahlil Okafor,NOP,1702486,,,,,,Minimum Salary,1702486
373,JaKarr Sampson,IND,1737145,,,,,,Minimum Salary,1737145
240,Jake Layman,MIN,3581986,3761085,3940184,,,,,11283255
236,Jakob Pöltl,SAS,3754886,,,,,,1st Round pick,3754886
432,Jalen Brunson,DAL,1416582,1663861,1802057,,,,Cap Space,3080443
449,Jalen Lecque,PHO,898310,1517981,1782621,1930681,,,,2416291
460,Jalen McDaniels,CHO,898310,1517981,1782621,1930681,,,Minimum Salary,898310
219,Jamal Murray,DEN,4444746,29250000,31590000,33930000,36270000,38610000,1st Round pick,174094746
363,James Ennis,PHI,1882867,2071978,,,,,,1882867
5,James Harden,HOU,37800000,40824000,43848000,46872000,,,Bird Rights,122472000
82,James Johnson,MIA,15349400,16047100,,,,,Cap space,15349400
210,JaMychal Green,LAC,4767000,5005350,,,,,Room Exception,4767000
296,Jared Dudley,LAL,2564753,,,,,,Minimum Salary,2564753
172,Jaren Jackson,MEM,6927480,7257360,9180560,,,,1st Round Pick,14184840
430,Jarred Vanderbilt,DEN,1416852,1663861,,,,,Cap Space,1416852
313,Jarrett Allen,BRK,2376840,3909902,,,,,1st Round Pick,6286742
184,Jarrett Culver,MIN,5813640,6104280,6395160,8109063,,,1st Round Pick,11917920
228,JaVale McGee,LAL,4000000,4200000,,,,,,8200000
463,Javonte Green,BOS,898310,1517981,,,,,Minimum Salary,898310
201,Jaxson Hayes,NOP,4862040,5105160,5348280,6803012,,,1st Round Pick,9967200
497,Jaylen Adams,ATL,100000,,,,,,,100000
174,Jaylen Brown,BOS,6534829,22991071,24830357,26669643,28508929,,1st Rd pick,109534829
434,Jaylen Nowell,MIN,1400000,1517981,1782621,1930681,,,MLE,1400000
155,Jayson Tatum,BOS,7830000,9897120,,,,,1st Round Pick,17727120
290,Jeff Green,UTA,2564753,,,,,,,2564753
58,Jeff Teague,ATL,19000000,,,,,,Cap space,19000000
488,Jemerrio Jones,WAS,199000,,,,,,,199000
134,Jerami Grant,DEN,9346153,9346153,,,,,,9346153
120,Jeremy Lamb,IND,10500000,10500000,10500000,,,,,31500000
242,Jerome Robinson,LAC,3567720,3737520,5340916,,,,1st Round Pick,7305240
416,Jevon Carter,PHO,1416852,,,,,,MInimum Salary,1416852
13,Jimmy Butler,MIA,32742000,34379100,36016200,37653300,,,,103137300
177,Joakim Noah,NYK,6431666,6431666,6431666,,,,,19294998
159,Joe Harris,BRK,7670000,,,,,,Early Bird Rights,7670000
111,Joe Ingles,UTA,11954546,10863637,14000000,,,,Bird Rights,36818183
487,Joe Johnson,DET,220000,,,,,,,220000
27,Joel Embiid,PHI,27504630,29542010,31579390,33616770,,,1st Round Pick,122242800
283,John Collins,ATL,2686560,4137302,,,,,1st Round Pick,6823862
129,John Henson,CLE,9732396,,,,,,1st Round Pick,9732396
4,John Wall,WAS,37800000,40824000,43848000,46872000,,,Bird Rights,122472000
494,Johnathan Williams,WAS,106181,,,,,,,106181
262,Jon Leuer,MIL,3169348,3169348,3169347,,,,,9508043
377,Jonah Bolden,PHI,1698450,1766550,1845000,,,,,1698450
76,Jonas Valančiūnas,MEM,16000000,15000000,14000000,,,,,45000000
185,Jonathan Isaac,ORL,5806440,7362566,,,,,1st Round Pick,13169006
441,Jonathon Simmons,WAS,1000000,,,,,,,1000000
387,Jordan Bell,MIN,1620564,,,,,,Minimum Salary,1620564
92,Jordan Clarkson,UTA,13437500,,,,,,Cap Space,13437500
383,Jordan McRae,WAS,1645357,,,,,,,1645357
353,Jordan Poole,GSW,1964760,2063280,2161440,3901399,,,1st Round Pick,4028040
358,Josh Hart,NOP,1934160,3491159,,,,,1st Round Pick,5425319
168,Josh Jackson,MEM,7059480,,,,,,1st Round Pick,7059480
306,Josh Okogie,MIN,2530680,2651040,4087904,,,,1st Round Pick,5181720
123,Josh Richardson,PHI,10100000,10800000,11600000,,,,Minimum Salary,20900000
193,Josh Smith,DET,5331729,,,,,,,5331729
39,Jrue Holiday,NOP,26131111,26131111,27020000,,,,Bird Rights,52262222
257,Juan Hernangómez,DEN,3321030,,,,,,1st Round pick,3321030
66,Julius Randle,NYK,18000000,18900000,19800000,,,,,40900000
498,Justin Anderson,BRK,98144,,,,,,,98144
442,Justin Hamilton,TOR,1000000,,,,,,,1000000
211,Justin Holiday,IND,4767000,,,,,,Room Exception,4767000
259,Justin Jackson,DAL,3280920,5029650,,,,,1st Round Pick,8310570
448,Justin James,SAC,898310,1517981,1782621,,,,Minimum Salary,2416291
388,Justin Patton,DAL,1620564,,,,,,,1620564
481,Justin Robinson,WAS,395866,,,,,,,395866
95,Justise Winslow,MIA,13000000,13000000,13000000,,,,1st round pick,26000000
109,Jusuf Nurkić,POR,12000000,12000000,12000000,,,,,28000000
467,Juwan Morgan,UTA,746054,,,,,,Minimum Salary,746054
33,Karl-Anthony Towns,MIN,27250000,29430000,31610000,33790000,35970000,,1st round pick,155870000
14,Kawhi Leonard,LAC,32742000,34379100,36016200,,,,,67121100
422,Keita Bates-Diop,MIN,1416852,1663861,,,,,MLE,1416852
355,Keldon Johnson,SAS,1950600,2048040,2145720,3873025,,,1st Round Pick,3998640
112,Kelly Olynyk,MIA,11667885,12198243,,,,,Cap space,11667885
79,Kelly Oubre,PHO,15625000,14375000,,,,,,30000000
8,Kemba Walker,BOS,34379100,32742000,36016200,37653300,,,,103137300
424,Kendrick Nunn,MIA,1416852,1663861,,,,,,1416852
421,Kenrich Williams,NOP,1416852,,,,,,Minimum Salary,1416852
55,Kent Bazemore,SAC,19269662,,,,,,Cap Space,19269662
149,Kentavious Caldwell-Pope,LAL,8089282,8493746,,,,,,8089282
7,Kevin Durant,BRK,37199000,39058950,40918900,42778850,,,,117176850
284,Kevin Huerter,ATL,2636280,2761920,4253357,,,,1st Round Pick,5398200
220,Kevin Knox,NYK,4380120,4588680,5845978,,,,1st Round Pick,8968800
22,Kevin Love,CLE,28900000,31300000,31300000,28900000,,,Bird Rights,120400000
435,Kevin Porter,CLE,1290960,2033160,2130240,3845083,,,1st Round Pick,3324120
216,Kevon Looney,GSW,4629630,5000000,5370370,,,,,9629630
267,Khem Birch,ORL,3000000,3000000,,,,,,6000000
19,Khris Middleton,MIL,30603448,33051724,35500000,37948276,40396552,,,137103448
465,Khyri Thomas,DET,838464,1663861,,,,,MLE,838464
12,Klay Thompson,GSW,32742000,35361360,37980720,40600080,43219440,,,189903600
192,Kris Dunn,CHI,5348007,,,,,,1st Round pick,5348007
