Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
31,Otto Porter,CHI,27250576,28489239,,,,,Bird Rights,27250576
146,P.J. Tucker,HOU,8349039,7969537,,,,,MLE,10918227
314,Pascal Siakam,TOR,2351839,29000000,31320000,33640000,35960000,,1st Round pick,132271839
374,Pat Connaughton,MIL,1723050,,,,,,,1723050
105,Patrick Beverley,LAC,12345679,13333333,14320988,,,,,40000000
229,Patrick McCaw,TOR,4000000,4000000,,,,,MLE,8000000
317,Patrick Patterson,LAC,2331593,,,,,,Minimum Salary,2331593
104,Patty Mills,SAS,12428571,13285714,,,,,Bird Rights,25714285
198,Pau Gasol,SAS,5100000,,,,,,,5100000
11,Paul George,LAC,33005556,35450412,37895268,,,,Maximum Salary,68455968
20,Paul Millsap,DEN,30500000,,,,,,Cap space,30500000
233,PJ Washington,CHO,3831840,4023600,4215120,5808435,,,1st Round Pick,7855440
269,Quinn Cook,LAL,3000000,3000000,,,,,,4000000
297,Rajon Rondo,LAL,2564753,2619605,,,,,,2564753
372,Raul Neto,PHI,1737145,,,,,,Minimum Salary,1737145
473,Rayjon Tucker,UTA,578573,1517981,,,,,Minimum Salary,578574
230,Reggie Bullock,NYK,4000000,4200000,,,,,Room Exception,5000000
64,Reggie Jackson,DET,18086956,,,,,,Bird Rights,18086956
205,Richaun Holmes,SAC,4767000,5005350,,,,,Room Exception,9772350
75,Ricky Rubio,PHO,16190476,17000000,17809524,,,,,51000000
154,RJ Barrett,NYK,7839960,8231760,8623920,10900635,,,1st Round Pick,16071720
115,Robert Covington,MIN,11301219,12138345,12975471,,,,Cap Space,36415035
357,Robert Williams,BOS,1937520,2029920,3661976,,,,1st Round Pick,3967440
209,Robin Lopez,MIL,4767000,5005350,,,,,Room Exception,4767000
376,Rodions Kurucs,BRK,1699236,1780152,1861068,,,,,3479388
186,Rodney Hood,POR,5718000,6003900,,,,,MLE,5718000
215,Rodney McGruder,LAC,4629630,5000000,5370370,,,,,15000000
252,Romeo Langford,BOS,3458400,3631200,3804360,5634257,,,1st Round Pick,7089600
308,Rondae Hollis-Jefferson,TOR,2500000,,,,,,MLE,2500000
389,Royce O'Neale,UTA,1618520,8035714,8678571,9321429,9964286,,Cap space,37618520
90,Rudy Gay,SAS,14000000,14000000,,,,,,28000000
46,Rudy Gobert,UTA,25008427,26525281,,,,,1st Round Pick,51533708
217,Rui Hachimura,WAS,4469160,4692840,4916160,6263188,,,1st Round Pick,9162000
3,Russell Westbrook,HOU,38178000,41006000,43848000,46662000,,,Bird Rights,123032000
196,Ryan Anderson,MIA,5214583,5214583,5214584,,,,,15643750
268,Ryan Arcidiacono,CHI,3000000,3000000,3000000,,,,,6000000
412,Ryan Broekhoff,DAL,1443842,,,,,,,1443842
258,Sekou Doumbouya,DET,3285120,3449400,3613680,5539771,,,1st Round Pick,6734520
397,Semi Ojeleye,BOS,1618520,1752950,,,,,,1618520
48,Serge Ibaka,TOR,23271604,,,,,,Cap space,23271604
160,Seth Curry,DAL,7441860,7813953,8186047,8558140,,,MLE,32000000
364,Shabazz Napier,MIN,1882867,,,,,,Cap Space,1882867
231,Shai Gilgeous-Alexander,OKC,3952920,4141320,5495532,,,,1st Round Pick,8094240
406,Shake Milton,PHI,1445697,1701593,1846738,1997718,,,Two-Way Contract,4994028
462,Shaquille Harrison,CHI,898310,,,,,,,898310
472,Shaun Livingston,GSW,666667,666667,666666,,,,,2666666
315,Skal Labissière,POR,2338847,,,,,,1st Round pick,2338847
94,Solomon Hill,MEM,13258781,,,,,,Cap Space,13258781
119,Spencer Dinwiddie,BRK,10600000,11400000,12300000,,,,Minimum Salary,22000000
346,Spencer Hawes,MIL,2007058,,,,,,,2007058
239,Stanley Johnson,TOR,3623000,3801000,,,,,Bi-annual Exception,3623000
486,Stanton Kidd,UTA,250000,,,,,,,250000
1,Stephen Curry,GSW,40231758,43006362,45780966,,,,Bird Rights,129019086
394,Sterling Brown,MIL,1618520,,,,,,MLE,1618520
41,Steven Adams,OKC,25842697,27528090,,,,,1st Round Pick,53370787
429,Sviatoslav Mykhailiuk,DET,1416852,1663861,,,,,Cap Space,1416852
278,T.J. Leaf,IND,2813280,4326825,,,,,1st Round Pick,7140105
248,T.J. McConnell,IND,3500000,3500000,,,,,Cap Space,4500000
117,T.J. Warren,IND,10810000,11750000,12690000,,,,1st Round Pick,35250000
126,Taj Gibson,NYK,9800000,10290000,,,,,,9800000
451,Talen Horton-Tucker,LAL,898310,1517981,,,,,Minimum Salary,2416291
250,Taurean Waller-Prince,BRK,3481986,13942308,15057692,,,,1st Round pick,32481986
440,Terance Mann,LAC,1000000,1517984,1782621,1930681,,,,2517984
457,Terence Davis,TOR,898310,1517981,,,,,Minimum Salary,898310
310,Terrance Ferguson,OKC,2475840,3944013,,,,,1st Round Pick,6419853
102,Terrence Ross,ORL,12500000,13500000,12500000,11500000,,,,50000000
52,Terry Rozier,CHO,19894737,18900000,17905263,,,,,56700000
302,Thabo Sefolosha,HOU,2564753,,,,,,Minimum Salary,2564753
98,Thaddeus Young,CHI,12900000,13545000,14190000,,,,,32445000
407,Thanasis Antetokounmpo,MIL,1445697,1701593,,,,,Minimum Salary,3147290
410,Theo Pinson,BRK,1445697,1701593,,,,,,1445697
153,Thomas Bryant,WAS,7936508,8333333,8730159,,,,,25000000
241,Thon Maker,DET,3569643,,,,,,1st Round pick,3569643
366,Tim Frazier,DET,1882867,,,,,,,1882867
63,Tim Hardaway,DAL,18150000,18975000,,,,,Cap space,18150000
188,Timofey Mozgov,ORL,5573333,5573333,5573334,,,,,16720000
489,Timothé Luwawu-Cabarrot,BRK,189602,,,,,,Minimum Salary,189602
18,Tobias Harris,PHI,31034483,33517241,36000000,38482759,40965517,,,180000000
124,Tomáš Satoranský,CHI,10000000,10000000,10000000,,,,,25000000
354,Tony Bradley,UTA,1962360,3542060,,,,,1st Round Pick,5504420
